,고객리뷰,예측답글,유창성,연관성
12,아이스 카푸치노 넘모 맛있고용 바닐라라떼도 다른데랑 다른 맛이에요 사피엔스만의 바라맛이 있음둥 잘 마셨습니다 🥰🥰,안녕하세요! #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사드립니당 ᄒᄒ 앞으로도 맛있는 음료와 디저트가 생각나시면 언제든 찾아주세용! 오늘도 행복한 하루 보내시길 바랄게요 :)</s>,1,0
13,쿠키 감사합니다:) 크로플도 딸기라떼도 모두 맛있게 잘 먹었어요!,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~ <unk>)입니다. 맛양배달 모두 별5점도 너무 감사드리고 큰힘이 됐습니다!! 감사해용~ 코로나에 건강 유의하시고요. 맛과 정성이 가득한 크로플로 고객님께 찾아뵐 수 있게 더 노력하는 츄가 되겠습니다. 감사합니다..</s>,0,0
14,새로온 알바가 있나요..? 맛이 달라졌넹..,안녕하세요! #@상호명# 카페 #@위치# 입니다( <unk> )<unk> 새로 들어온 알바라니!! 정말 죄송합니다 ㅠㅠ 다음번에는 더 신경써서 보내드리겠습니다!</s>,0,0
15,요청해주신대로 만들어주셔서 정말 맛있게 잘먹었습니다. 순수감자샌드위치 메뉴도 추가되었으면 좋겠어요!!!,안녕하세요 고객님 ^0^ 전 항목 5점! 그리고 사진리뷰 작성 감사드립니다! 요청사항 있으시면 언제든지 편하게 말씀해주세용! 항상 최선을 다하는 #@상호명# 이 되겠습니다. 다가오는 주말도 즐겁고 행복하게 보내세요. 감사합니다.</s>,1,0
16,시간이 급해서 주문했는데 포장도 마음에 들고 마음에 들었어요,안녕하세요 고객님! #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있도록 준비하고 있습니다! 앞으로도 많은 이용 부탁드립니다^^</s>,0,0
17,에그샌드위치 정말 맛있어요.! 또 배달시켜먹고 싶네요~,안녕하세요! #@상호명# 입니다! 저희 샌드위치를 맛있게 드셔주셔서 감사합니당 ᄒᄒ 앞으로도 많은 이용 부탁드리겠습니다 :)</s>,1,1
18,배달도 빠르고 좋아요 ㅎㅎ 항상 시켜먹고 있습니다,저희 #@위치# #@상호명# 를 이용해주셔서 감사합니다. 항상 고객님께서 만족하실 수 있도록 최선을 다하겠습니다.</s>,0,0
19,달달한게 필요한 날! 도너츠 주문해서 너무 맛있게 잘 먹었습니다. 달달한거 먹으니 피로가 풀리는거 같네요. 배달도 정말 빨리 왔어요.,안녕하세요 고객님 :) 저희 #@상호명# 을 찾아주셔서 감사드립니다 <unk><unk>♀<unk> 달콤한 도넛과 커피가 생각나시면 언제든 또 이용해주세용<unk></s>,1,0
20,크리스피도넛 너무 좋아해요 로투스 맛있데서 처음 주문했는데 진짜네요,안녕하세요! #@상호명# 입니다! 저희 매장을 찾아주셔서 너무 감사드립니당!! 맛있게 드셨다니 너무 뿌듯하네용ᄒᄒ 앞으로도 많은 이용 부탁드릴게요~!</s>,1,0
21,"오늘 처음 주문해봤는데, 배송도 빠르고 사장님도 친절하십니다. 빵을 자주 먹는편인데, 앞으로 자주 이용하게 될 것 같습니다!! 다음엔 음료도 도전해봐야겠습니다. 감사합니다! 👍",고객님 안녕하세요 :) 저희 와플들 모두 맛있게 드셔주셔서 정말 감사드려용 😍 저희는 항상 맛있는 와플로 고객님의 기분 좋은 경험을 만들어드리기 위해 최선을 다하고 있답니당 😉 즐거운 주말 보내시길 바랄게용<unk><unk></s>,0,0
22,오늘도 파바데이 맛있게 잘 이용하고 있습니다.,안녕하세요! #@상호명# 카페 #@위치# 입니다( ́<unk>`)♡ 항상 맛있는 빵으로 고객님을 기다리고 있겠습니다! 앞으로도 많은 이용 부탁드릴게용~!</s>,0,0
23,가격도 저렴하고 품질도 좋고 다음에도 꼭 주문해 먹을게요 배달도 빠르고 너무 좋습니다,안녕하세요! #@상호명# 카페 #@위치# 입니다( <unk> )<unk> 맛있는 커피와 디저트 드시고 싶으실 때 언제든 찾아주세용~!</s>,0,0
24,맛있어요 빵이 고소하고 밀크티도 맛있어요,안녕하세요! #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사합니당! 앞으로도 맛있는 빵 드실 수 있도록 노력하겠습니다^^</s>,1,0
25,이쁜 포장에 쿠키하나시켰는데 서비스까지 진짜 최고ㅠㅠ 다른곳에서 커피시킬 생각이 안나요!,고객님 안녕하세요 :) 저희 와플과 커피 모두 맛있게 드셔주셔서 넘넘 감사드립니다 😍 저희는 언제나 변함없는 맛과 서비스로 보답해드리겠습니다 :D</s>,0,0
26,음식이 맛있고 캐릭터가 귀여워요,안녕하세요! #@상호명# 입니다! 저희 매장을 이용해주셔서 감사드립니다. 맛있게 드셨다니 정말 다행입니다. 앞으로도 많은 이용 부탁드릴게요~!</s>,1,0
27,맛있게 잘먹었어요 요기요에도 빙수 토핑추가랑 고구마 붕어빵 추가해주세용,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 반포서래마을 입니다<unk><unk> 저희 매장을 이용해주셔서 감사드립니당<unk> 앞으로도 많은 이용 부탁드릴게요!</s>,0,0
28,샌드위치를 백에 담아주셔서 따뜻하게 잘먹었습니다~,안녕하세요 고객님 ^0^ 전 항목 5점! 그리고 주문 감사드립니다 주문해주신 메뉴들 맛있게 드셨다니 저희도 기분이 좋네요^^ 앞으로도 한결같은 마음으로 최선을 다하는 #@상호명# 이 되겠습니다. 남은 주말도 즐겁고 행복하게 보내세요.</s>,0,0
29,간단하게 카나페를 먹고싶어서 과일을 시켰어요~ 과일이 달아서 너무 맛있네요ㅎㅎ 맛있게 잘 먹었습니다ㅎㅎ,안녕하세요!! #@상호명# 입니다 :) 저희 음료와 디저트들을 주문해주셔서 너무너무 감사드려요 ♥ 저희는 항상 고객님께서 만족하실 수 있도록 최선을 다하는 츄가 되겠습니당! 앞으로도 많은 이용 부탁드릴게용 <unk><unk></s>,0,0
30,크로플이랑 라떼 너무 맛있어요 자주시켜먹어요,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 감사합니다!! 맛양배달 모두 별5점도 너무 감사드리고 큰힘이 됐습니다~ 코로나에 건강 유의하시고요. 맛과 정성이 가득한 크로플로 고객님께 달려갈게요!</s>,1,1
31,티라미수와 마카롱을 시켰는데 티라미수는 생각보다 맛있어서 놀랐고 마카롱은 생각했던것보다 조금 작아서 아쉬웠습니다.(사진은 이미 먹고 찍은거라..ㅠㅠ),안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 맛있게 드셨다니 정말 다행이네요! 다음번 주문하실때도 만족스러운 디저트 타임이 되실 수 있도록 노력하겠습니다. 감사합니다.</s>,0,0
32,크로플 따뜻하게 잘 도착해서 감사해용! 그리고 녹차라떼도 많이 안달고 딱 씁쓸달달했어요!! 많이 달까봐 걱정했거든요ㅠㅋ 맛있게 먹었습니다!!~,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛나게 드셔주셔서 감사합니다 ᄒᄒ 맛양배달 모두 별5점과 이쁜 사진도 너무 감사드립니다. 앞으로도 고객님께 맛있는 디저트 드실 수 있게 열심히 노력하겠습니다. 또 주문해주세용~</s>,1,0
33,두번째로 시켜먹어요~~ 배달도 20분만에 와서 깜짝놀랐어요... ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맛있게 잘 먹었습니당 👍👍👍,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어용♥) 입니다! 맛나게 드셨다니 너무 좋아용😍😍 다음에도 정성껏 만들어 보내드릴게용! 또 주문해주세용😘</s>,0,0
34,커피도 맛있고요 붕어빵도 맛있어요 ^^ 주신 서비스도 잘 먹겠습니다//,안녕하세요 고객님:) 맛있게 드셔주셔서 감사드립니다!! 항상 맛있는 음료와 디저트 드실 수 있도록 노력하는 #@상호명# 이 되겠습니다. 앞으로도 많은 이용 부탁드릴게요:)</s>,1,0
35,음료 너무 맛있어요 추천이요ㅋㅋ,안녕하세요 #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사드립니다. 추천까지 해주시다니 정말 감동입니다. 앞으로도 맛있는 음료와 디저트로 찾아뵙겠습니다. 감사합니다.</s>,0,0
36,샐러드가 약간 풀이 죽기는 했는데 그래도 맛있게 먹었네요!,안녕하세요 #@상호명# 입니다! 샐러드 기사님께 말씀드리겠습니다 ㅠㅠ 이용해주셔서 감사드리고 앞으로도 많은 이용 부탁드릴게요~!</s>,0,0
37,"에그샌드위치, 제일 든든하고 충실한것 같아요.치아바타도...",맛있게 드셔주셔서 감사합니다!! ᄒᄒ 앞으로도 맛있는 샌드위치 생각나실때 또 찾아주세요 :)</s>,1,0
38,따뜻하게 시켜먹으니 넘맛나고 빨라요,안녕하세요! #@상호명# 카페 #@위치# 입니다!! 저희 매장을 이용해주셔서 정말 감사드립니다. 앞으로도 고객님의 만족을 위해 최선을 다하겠습니다. 감사합니다.</s>,1,0
39,여기 에그마요 맛있어서 할인행사하면 항상 이용해요. 예쁜가방에 담아주고 좋아요♡♡♡,고객님 안녕하세요 :) 저희 와플들 모두 맛있게 드셔주셔서 정말 감사드립니당 😍 저희는 언제나 고객님을 만족시켜드릴 수 있도록 최선을 다하는 #@상호명# 가 되겠습니다 😉 편안한 저녁 시간 보내세용 <unk><unk></s>,0,0
40,너무맛있어요 오늘은 잊지않고 리뷰이벤트했네요 너무 맛있어서 매일먹고싶어용,안녕하세요 #@상호명# 입니다! 맛있게 드셔주셔서 너무 감사드립니당 ᄒᄒ 앞으로도 맛있는 디저트와 음료로 보답드리겠습니다 :)</s>,0,0
41,각각 개별포장 좋았어요 근디 얼음이 다 녹아와서 아쉅네요 도넛은 넘 맛났네요,안녕하세요 고객님<unk><unk>♀<unk> 저희 #@상호명# 을 이용해주셔서 감사합니다 :) 저희는 고객님의 소중한 의견에 귀기울이고 더욱 노력하겠습니다!! 오늘도 행복한 하루 보내세용<unk></s>,1,1
42,얼음 좀 완벽하게 갈아주심좋겠어요 매번 얼음 덩어리가 ㅠㅠ,안녕하세요! #@상호명# 입니다! 저희 매장을 이용해주셔서 너무 감사드립니당!! 항상 고객님께서 만족하실 수 있도록 최선을 다하겠습니다 :)</s>,0,0
43,맛도좋고 양도좋고 생크림이 너무 달지않고 거부감없이먹었어요,안녕하세요! #@상호명# 입니다! 맛있게 드셔주셔서 감사합니당 ᄒᄒ 저희 음료와 디저트가 입맛에 맞으셨다니 정말 다행이네용! 앞으로도 많은 이용 부탁드리겠습니다 :)</s>,1,0
44,국내산 닭고시!!!!!!!!!,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 #@위치# 입니다! 앞으로도 많은 이용 부탁드릴게요!</s>,0,0
45,배달도 빠르고 맛도 맛있고 서비스도 최고 입니다 ~~,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 #@위치# 입니다. 저희 매장을 이용해주셔서 감사합니다. 앞으로도 많은 이용 부탁드립니다.</s>,0,0
46,"예정된 사간보다 45분 더 지연됐어요.너무 늦으면 연락을 먼저 주시던지 해야하는데,마냥 기다리고 실망이네요.",안녕하세요 고객님. #@상호명# 직영점으로 운영중인 한 남 점입니다. 예상시간보다 지연되어 죄송합니다ㅠㅠ 다음번에는 더 빠르게 받아보실 수 있도록 노력하겠습니다! 이용해주셔서 감사합니다.</s>,0,1
47,항상 배달 빠르게 해주시거 너무 좋아요,안녕하세요 고객님! 항상 저희 #@상호명# 을 이용해주셔서 정말 감사드립니다! 앞으로도 빠른 배달과 맛있는 음료 제공해드릴 수 있도록 노력하겠습니다 :)</s>,1,1
48,맛도 좋고 배달도 빠른데 배달료가 넘 비싸요 ㅠ.ㅠ,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다! 배달대행업체를 이용하다보니 저희도 너무 속상하네요ㅠㅠ 항상 맛있고 친절하게 장사하겠습니다^^</s>,0,0
49,최고입니다.맛있습니다 .고맙습니다,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다! 최고라고 해주시니 너무 뿌듯하네요!! 다음에도 정성껏 만들어 보내드리겠습니다. 또 찾아주세용~</s>,0,0
50,매번 뭘더 주시네요 배달도 빠르고 원하는맛 선택해서 먹을수 있으니 좋아요,안녕하세요 고객님! #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 #@위치# 입니다!! 맛있게 드셔주셔서 감사합니당>_<</s>,0,0
51,두번째주문인데 크로플 맛이 엄청나게 맛있습니다,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다!! 맛양배달 모두 별5점도 큰힘이 됩니당 ^^ 앞으로도 자주 찾아주세용~</s>,0,0
52,맛은 있으나 배달이 너무 오래걸려요 양도 적고,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 매일매일 새로운 맛으로 한달내내 행복하게 즐기실 수 있는 #@위치# 입니다. 불편을 드려 죄송합니다 ᅲ.ᅲ 다음번에는 더욱 만족하실수 있도록 노력하겠습니다!</s>,0,0
53,시킬 때마다 늘 만족하는 메종드한,안녕하세요 #@상호명# 입니다. 주문해주셔서 감사합니다! 항상 만족하실 수 있도록 최선을 다하겠습니다 :)</s>,1,0
54,항상 좋은 음식 감사합니다 ㅎㅎ,#@고객이름# 님 안녕하세요 #@상호명# 마곡역 GMG점을 다시한번 찾아주셔서 감사드립니닷>ᄆ<♥♥ 저희 매장을 자주 이용해주신다니 정말정말 감사드려요!! 늘 좋은일만 가득하길 응원하겠습니다! 날씨가 많이 추워졌는데 감기 조심하시고 오늘도 좋은 하루 보내세용♥</s>,0,0
55,최근에 주문했을때 맛있어서 두번째 주문합니다. 맛있어요~~ 👍 코로나로 어려운 시기에 오래도록 영업 잘 되시길 바랍니다.,안녕하세요! #@상호명# 입니다. 주문해주셔서 감사합니다!! 저희 음료와 디저트 모두 맛있게 드셨다니 정말 기쁘네요 :) 앞으로도 많은 이용 부탁드리겠습니다~!</s>,0,0
56,아인슈페너 처음으로 시켜봤는데 달달하니 맛있습니다~!! 서비스로 주신 아메리카노도 잘 먹겠습니다 감사합니다🥹,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드려요! 맛양배달 모두 별5점과 이쁜 사진도 너무너무 감사드립니다. 코로나에 건강 유의하시고요. 맛과 정성으로! 노력하는 크로플 각~ 될게요. 자주 찾아주세요. 감사합니다.</s>,0,0
57,딸기ㅜㅜ 저 원래 딸기 안 좋아하는데 3주 내내 딸빙 생각으로 지새우다 드디어ㅜㅜ 먹었슴다ㅠ 딸기 토실하니 맛났어요!,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 천호 로데오점 입니다! 딸기 시즌이 얼마남지 않았네요 ㅠㅠ 딸기토실하게 드셔주셔서 감사합니당 ♥</s>,0,0
58,배달 빠르고 맛잌ㅅ어오 이번에는 리뷰이벤트로 제대로 파인애플 받았어요 큰 사이즈가 왔네여 잘 먹었습니다 감사....!,안녕하세요! #@상호명# 카페 #@위치# 입니다(^<unk>^)っ ♡ 맛있게 드셔주셔서 감사합니다♡ 앞으로도 많은 이용 부탁드릴게용~!</s>,0,0
59,새벽에도 배송이 되니 참좋아요^^ 샌드위치 참 맛있어요~서비스 잘마실게요♥,고객님 주문해주셔서 감사합니다!! 저희 #@상호명# 은 24시간 언제나 열려있으니 언제든 찾아주세요 ᄒᄒ 항상 맛있게 드실 수 있도록 최선을 다하는 츄가 되겠습니다 :)</s>,0,0
60,미리 잘라서 보내주신 덕분에 편하게 생크림에 먹을수 있었네요. 맛있었어요! 서비스로주신 아메리카노 잘마시겠습니다. 번창하세요.,맛있게 드셔주셔서 감사합니다!! 항상 맛있는 디저트로 찾아뵙겠습니다 :)</s>,1,0
61,랜덤박스라 어떤 빵이 올까 기대되기도 하고 신선하네요. 덤으로 자몽쥬스 주신 것도 잘 먹었습니다~,안녕하세요! #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사드립니다. 앞으로도 신선하고 맛있는 빵으로 찾아뵙겠습니다. 감사합니다.</s>,1,0
62,양이 팥빙수..소 맞나 할 정도로 많아요,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다 ᄒᄒ 맛양배달 모두 별5점과 이쁜사진까지!! 너무너무 감사드려요 ^^ 항상 정성 가득하고 맛있는 디저트로 찾아뵙겠습니다~ 앞으로도 많은 사랑 부탁드릴게요!</s>,0,0
63,빠른 배달 감사합니다 바닐라라떼도 진짜 맛있었어요,안녕하세요 고객님! #@상호명# 직영점으로 운영중인 한 남 점입니다. 주문해주셔서 감사합니다. 맛있게 드시고 행복한 하루되세요.</s>,0,0
64,햄치즈시킬까말까하다가 남길꺼같아서 안시켰는데 서비스로주셔서 감사해요^^ 참치는 안에 양배추가들어있어 넘맛있었어요 내용물도 넘치도록 들어있고! ㅎㅎ다음에도 또주문할께요,안녕하세요 #@상호명# 입니다! 맛있게 드셨다니 정말 감사드립니다. 앞으로도 더 맛있는 음식으로 보답드리겠습니다. 감사합니다.</s>,1,0
65,샌드위치가 생각보다 커서 좋습니다,고객님 안녕하세요 :) 저희 와플들 모두 맛있게 드셔주셔서 넘넘 감사드립니다 😍 저희는 언제나 맛있는 와플로 고객님의 기분 좋은 디저트타임을 만들어드리기 위해 항상 노력하고 있답니당 😉 오늘도 즐거운 하루 보내세용 <unk><unk></s>,0,0
66,맛있어요 누텔라가 제일 좋아요,맛있게 드셔주셔서 정말 감사합니다!! 앞으로도 맛있는 디저트 생각나실때 또 찾아주세요 :)</s>,1,1
67,배달 상태는 양호했고 맛도 너무 좋아요~~,안녕하세요 #@상호명# 입니다. 맛있게 드셔주셔서 정말 감사합니다 :) 앞으로도 맛있는 음료와 디저트로 보답드리겠습니다!!</s>,0,0
68,괜찮았어요!!!! 다음에 또 시킬게요 ^.^,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다! 맛양배달 모두 별5점과 이쁜 사진리뷰까지 너무너무 감사드려용~ 코로나에 건강 유의하시고요. 맛과 양으로 대박나시길 바랄게용^^</s>,0,0
69,진짜 너무 맛있어요~~ 스파게티와 바게트 조합이 이렇게 좋을줄 몰랐어요 포장도 너무 깔끔하고 휴일날 브런치로 최고예요!,안녕하세요 #@상호명# 입니다. 맛있게 드셔주셔서 정말 감사합니다!! 항상 맛있는 빵으로 보답하겠습니다^^</s>,1,1
70,맛있어용 근데 토핑 종류는 가격에 비해 별로인 듯 해요 째끄만 떡 조각이라도 있으면 좋을텐데.. 우유얼음 양은 엄청 많아요,안녕하세요. #@상호명# 을 찾아주셔서 감사드립니다! 맛있게 드셨다니 너무너무 기분이 좋습니다 ᄒᄒ 앞으로도 많은 이용 부탁드릴게요!</s>,0,0
71,품절안내도 친절히 해주시고 대체해온 빵도 맛있어요^^ 빙수도 맛있게 잘먹었습니다:),주문해주셔서 감사합니다 ^^ 앞으로도 많은 이용부탁드리며 행복한저녁 보내세요♡</s>,1,0
72,음료다 맛있네요 토피넛은 땅콩도 씹히구요 잘먹었습니다,안녕하세요 #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사드립니다. 땅콩버터토스트는 저희 매장에서 가장 잘나가는 베스트 메뉴 중 하나랍니다. 앞으로도 많은 이용 부탁드릴게요!</s>,0,0
73,늦은시간에도 빙수를 먹을수 있어서 정말 좋네요 초코케익도 맛있고 리뷰이벤트로 아아까지 와서 잘 먹었습니다~,"안녕하세요 #@상호명# 입니다. 맛있게 드셔주셔서 감사합니다!! 빙수 생각나시면 저희 ""#@상호명# "" 많이 찾아주시고 사랑해 주세요♥♥ 감사합니다.</s>",0,0
74,배달도 빠르고 포장도 잘되어있어서 좋겠어요~감사합니다!,고객님 안녕하세요 :) 저희 와플들 모두 맛있게 드셔주셔서 넘넘 감사드려용 😍 언제나 맛있는 와플로 고객님의 기분을 즐겁게 해드릴 수 있는 #@상호명# 이 되겠습니다 😉 즐거운 주말 보내세용<unk><unk></s>,0,0
75,맛있는 음료랑 토스트ㅠㅠ 너무 좋아오 자꾸 생각나서 시켜먹었어요,안녕하세요! #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사합니당 ᄒᄒ 앞으로도 맛있는 음료와 디저트로 찾아뵙겠습니다^^</s>,1,0
76,집에서 배달해 먹는 망고빙수..최고네요 ! 서비스 아이스티도 유달리 맛나고.... 자주 애용하겠습니다ㅡ 한가지 건의사항은 연유가 좀 흘렀네요. 담부터는 뿌려주시면 좋겠어요,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 너무 감사드립니다! 맛양배달 모두 별5점과 이쁜 사진까지 너무너무 감사드려요!! 코로나에 건강 유의하시고요. 맛과 정성으로 준비하는 크로플 각~ 될게요. 자주 찾아주세요. 감사합니다.</s>,0,0
77,간만에 주문하는데도 서비스챙겨주셔서 감사했어요! 아이스아메리카노랑 먹으니까 더욱 맛있었어요ㅠㅠ 샌드위치 맛은 말할것도없구요ㅜㅜ 정말 푸짐하고 신선한 맛난 샌드위치였어요!!,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛양배달 모두 별5점도 너무 감사드리고 큰힘이 됩니다~ 감사해요 ᄒ 코로나에 건강 유의하시고요. 맛과 정성으로 보답하는 라온아토가 되겠습니다^^</s>,0,0
78,안녕하세요 오늘 처음 시켜봤는데 맛도 좋고 냉장고에 보관 했다가 먹을 수 있어서 편리해요~ 캔커피 홀더가 이뻐서 냉장고에 세워두니 너무 귀엽네요 잘먹겠습니다. 자주 이용할게요🙏👍,맛있게 드셔주셔서 감사합니다!! 자주 이용 부탁드릴께요!</s>,1,0
79,너무나도 맛났어요 보리건빵도 서비스도 주시고 너무 감사해요,안녕하세요! #@상호명# 카페 #@위치# 입니다(● ́<unk>`●)♡ 맛있게 드셔주셔서 감사합니다♡ 앞으로도 많은 이용 부탁드릴게용~!</s>,0,0
80,오 처음 시켜보는 곳인데 맛있네요 소스도 충분했고 양도 많아서 배부르게 잘 먹었습니다 커피도 맛있어요 다음에는 딴 메뉴 주문해볼래요,안녕하세요 #@상호명# 입니다! 맛있게 드셔주셔서 정말 감사드립니다. 앞으로도 맛있는 음료와 디저트가 생각나시면 언제든 찾아주세요. 감사합니다.</s>,1,0
81,종이봉투 요청 들어주셔서 감사^^ 평일 저녁 여자 직원분 친절하셔요~,안녕하세요 고객님<unk><unk>♀<unk> 소중한리뷰감사합니다 :) 저희매장을 이용해주시고 만족하셨다니 정말 다행이에요!! 앞으로도 고객님의 기분좋은 경험을 만들기위해 더욱 노력하는 #@상호명# 이 되겠습니다!</s>,1,0
82,배달 빠르고 양 많이 주셔서 맛있게 먹었어요,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛양배달 모두 별5점도 너무 감사드리고 큰힘이 됩니다~ 감사해요!!</s>,0,0
83,배달도 빠르고 맛도좋고 서비스도 주시구 너무 감사합니다,안녕하세요! #@상호명# 카페 #@위치# 입니다( <unk> )<unk> 앞으로도 많은 이용 부탁드릴게용~!</s>,0,0
84,샌드위치가 이렇게 맛있는 줄 처음 알았어요,고객님 안녕하세요 :) 저희 와플 맛있게 드셔주셔서 감사합니다 😍 저희는 항상 맛있는 와플로 고객님의 행복한 디저트 타임을 만들어 드리겠습니다! 오늘도 좋은 하루 보내세용 <unk><unk></s>,0,0
85,"배달은 빠르게 잘 왔는데 주문한 도넛한개가 빠졌네요 하나만 다시 배달해달라기도 뭐하고..., 난감하네요",안녕하세요 고객님 #@상호명# 직영점 왕 십리역사점을 이용해주셔서 너무너무 감사드립니다 다음번 주문시에도 만족하실 수 있도록 노력하겠습니다</s>,0,0
