,고객리뷰,예측답글,유창성,연관성
13,쿠키 감사합니다:) 크로플도 딸기라떼도 모두 맛있게 잘 먹었어요!,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주셔서 감사합니다. 크로플의 #@상호명# 가장 큰 중독성이랍니다!! 항상 노력하는 #@상호명# 이 되겠습니다!!,1,1
14,새로온 알바가 있나요..? 맛이 달라졌넹..,안녕하세요~#@고객이름# ~ #@고객이름# 께 만족을 드리지 못해 죄송합니다! 앞으로도 실망시키지 않도록 노력하겠습니다! 주문해주셔서 감사합니다!,1,1
15,요청해주신대로 만들어주셔서 정말 맛있게 잘먹었습니다. 순수감자샌드위치 메뉴도 추가되었으면 좋겠어요!!!,#@고객이름# 님 주문해주셔서 감사합니다~ :) 순수감자샌드위치라서 고소하고 맛있어요 ᄒᄒ 다른 맛의 샌드위치도 많은 이용 부탁드리겠습니다 : ),1,0
16,시간이 급해서 주문했는데 포장도 마음에 들고 마음에 들었어요,고객님 주문 감사합니다  #@상호명# 를 이용해주셔서 감사합니다:) 배달도 맘에 드셨다니 저도 너무 기쁩니다!! 저희 #@상호명# 도 고객님들의 관심과 사랑으로 운영되어지고있습니다! 앞으로도 변함없이 고객님의 만족을 책임지는 #@상호명# 가 되겠습니다!!♀♀ 오늘도 행복한 하루 되세요:),1,1
17,에그샌드위치 정말 맛있어요.! 또 배달시켜먹고 싶네요~,저희 샌드위치가 항상 맛있어요!! 한번에 5마리 이상은 나 주문해 주시는 손님분들이 많으세요 ᄒᄒ 주문해주셔서 감사해요 :),0,1
18,배달도 빠르고 좋아요 ㅎㅎ 항상 시켜먹고 있습니다,주문해 주셔서 너무 감사합니다 항상 맛있고 건강한 도나스를 위해 노력하겠습니다!! 많은 사랑 부탁드릴게요😍😍,1,1
19,달달한게 필요한 날! 도너츠 주문해서 너무 맛있게 잘 먹었습니다. 달달한거 먹으니 피로가 풀리는거 같네요. 배달도 정말 빨리 왔어요.,#@고객이름# 님 주문해 주셔서 감사합니다. 맛있게 드셨다니 정말 다행입니다. 달달한 도너츠로 힐링 타임 하셨길 바랍니다.,1,1
20,크리스피도넛 너무 좋아해요 로투스 맛있데서 처음 주문했는데 진짜네요,고객님 감사합니다 #@상호명# 도너츠는 맛도 괜찮지만!! 깔끔하고 맛있게 만드는 도나스가 될 수 있도록 항상 노력하겠습니다! ᄒᄒᄒ 맛있게 드셔주셔서 감사드리고 항상 좋은 일만 가득하시길 바랄게요!,1,1
21,"오늘 처음 주문해봤는데, 배송도 빠르고 사장님도 친절하십니다. 빵을 자주 먹는편인데, 앞으로 자주 이용하게 될 것 같습니다!! 다음엔 음료도 도전해봐야겠습니다. 감사합니다! 👍",#@고객이름# ^^! 저희 매장을 이용해주셔서 감사합니다. 자주 이용해주신다니 감사합니다. 항상 고객님의 만족을 위해 최선을 다하는 #@상호명# 가 되겠습니다. 리뷰 감사드리며 즐거운 주말 보내세요~~~,1,1
22,오늘도 파바데이 맛있게 잘 이용하고 있습니다.,주문해주셔서 감사합니다^^ 매일매일 신선하게 드실수 있도록 노력하고 있습니다^^ 자주 이용해주세요~~♡♡,1,1
23,가격도 저렴하고 품질도 좋고 다음에도 꼭 주문해 먹을게요 배달도 빠르고 너무 좋습니다,주문해주셔서 너무너무 감사합니다 :) 앞으로도 항상 더 좋은 제품 더 많은양 맛있고 건강한 빵으로 보답하겠습니다!,1,1
24,맛있어요 빵이 고소하고 밀크티도 맛있어요,안녕하세요 고객님 저희 #@상호명# 을 이용해 주셔서 감사합니다. 빠른 배송과 신선한 쥬스 제공해 드리기위해 노력하고 있습니다 ᄒᄒ 앞으로도 많은 이용 부탁드릴게요!! 소중한 리뷰 감사합니다 ♥,1,0
25,이쁜 포장에 쿠키하나시켰는데 서비스까지 진짜 최고ㅠㅠ 다른곳에서 커피시킬 생각이 안나요!,어머머머머^^ 다음 주문때에도 서비스 잊지않도록 최선을 다 하겠습니다😍 이용해 주셔서 감사합니다^^,1,1
26,음식이 맛있고 캐릭터가 귀여워요,#@고객이름# 님 저희 #@상호명# #@상호명# 을 찾아주셔서 감사드립니다!! 맛있게 드셔주셔서 너무너무 감사드립니다!! 항상 맛있는 음식으로 찾아뵙겠습니다!! 자주자주 찾아주세요~~~,1,1
27,맛있게 잘먹었어요 요기요에도 빙수 토핑추가랑 고구마 붕어빵 추가해주세용,이용해주셔서 감사합니다! 토핑을 추가 해드리지 않고 추천해드린 토핑은 토핑으로 고#@위치# 마케이크보다는 호불호가 갈리는 제품이긴 하더라#@위치# 요. #@고객이름# 께 많은 토핑을 제공해드리지 못해 죄송합니다.,0,1
28,샌드위치를 백에 담아주셔서 따뜻하게 잘먹었습니다~,주문해주셔서 감사합니다!! 앞으로도 더나은 서비스로 보답해드리겠습니다:) 날씨가 많이 추운데 감기조심하세요~,1,1
29,간단하게 카나페를 먹고싶어서 과일을 시켰어요~ 과일이 달아서 너무 맛있네요ㅎㅎ 맛있게 잘 먹었습니다ㅎㅎ,안녕하세요 고객님  소중한 주문과 리뷰 감사합니다  만족스러운 식사가 되셨다니 정말 다행입니다 :) 앞으로도 항상 최고의 품질과 서비스로 보답 드릴 수 있는 #@상호명# 되겠습니다 다음 주문 때 뵙겠습니다 ♪( ́ε\*。(\*),1,1
30,크로플이랑 라떼 너무 맛있어요 자주시켜먹어요,소중한리뷰 남겨주셔서 감사합니다! #@상호명# 과 좋은시간되어서 감사드립니다^^ 앞으로도 만족스러운 디저트 되실수있도록 노력하겠습니다^^ \*,1,1
31,티라미수와 마카롱을 시켰는데 티라미수는 생각보다 맛있어서 놀랐고 마카롱은 생각했던것보다 조금 작아서 아쉬웠습니다.(사진은 이미 먹고 찍은거라..ㅠㅠ),#@고객이름# 님 안녕하세요! #@상호명# 입니다! 주문해주셔서 감사합니다! #@상호명# 는 방금 #@위치# 워두셨는데 티라미수가 생각보다 많이 작았다니ㅠㅠ 죄송합니다ㅠㅠ 다음번 주문시 조금 작은사이즈의 음료 선택해주시면 최대한 큰사이즈로 담아드리겠습니다! 이용해주셔서 감사합니다!,0,1
32,크로플 따뜻하게 잘 도착해서 감사해용! 그리고 녹차라떼도 많이 안달고 딱 씁쓸달달했어요!! 많이 달까봐 걱정했거든요ㅠㅋ 맛있게 먹었습니다!!~,안녕하세요 고객님 (\* ́)♡ 맛있게 드셨다니 정말 기쁩니다! 역시 #@상호명#  저희 커피 는 주문 즉시 갓 #@위치# 워서 드실 수 있도록 배달 시 기사님께 꼭 전달해 드리겠습니다! 언제든 생각나시면 주문해주세용:) 오늘 하루도 행복하세요! 감사합니다,0,0
33,두번째로 시켜먹어요~~ 배달도 20분만에 와서 깜짝놀랐어요... ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맛있게 잘 먹었습니당 👍👍👍,안녕하세요 #@상호명# #@상호명# 입니다. 이벤트때 자주 이용해주셔서 너무 감사합니다 :) 다음에도 만족하실 수 있도록 노력하겠습니다 :) 맛있게 드시고 좋은 하루 되세요 :),1,1
34,커피도 맛있고요 붕어빵도 맛있어요 ^^ 주신 서비스도 잘 먹겠습니다//,소중한 리뷰 감사합니다:) #@상호명# 케익을 찾아주셨군요!😊 맛있는 케익들은 항상 저희 #@상호명# 많은 이용 부탁드릴게요:)! 다음에도 또 이용해주세요! 감사합니다!,1,0
35,음료 너무 맛있어요 추천이요ㅋㅋ,#@고객이름# 님 #@상호명# 입니다! 앞으로도 믿고 드실수 있게 맛도 좋고 빠른배달로 찾아뵙겠습니다♂,1,1
36,샐러드가 약간 풀이 죽기는 했는데 그래도 맛있게 먹었네요!,#@고객이름# 님 #@상호명# 을 이용해주셔서 감사합니다. 식사에 불편을 드려 정말 죄송합니다...! 다음부터는 이런일이 발생하지 않도록 신경쓰겠습니다...ㅠㅠ 정말 죄송합니다ㅠㅠ..!!,1,1
37,"에그샌드위치, 제일 든든하고 충실한것 같아요.치아바타도...",저희 샌드위치도 맛있게 드셔주셔서 감사합니다~!! 이용해주셔서 감사합니다^^ 또 이용해주세요~~,1,1
38,따뜻하게 시켜먹으니 넘맛나고 빨라요,이용해주셔서 감사합니다^^ ♡ 저희도 라이더와 함께 정성껏 준비해 보내드리고 있어요! #@상호명# #@상호명# 을 이용해주셔서 감사합니다:),1,1
39,여기 에그마요 맛있어서 할인행사하면 항상 이용해요. 예쁜가방에 담아주고 좋아요♡♡♡,#@고객이름# 님 안녕하세요~! #@상호명# #@상호명# 입니다. 저희 매장을 이용해주시고 소중한 리뷰 작성 감사드립니다!!! 저희 #@상호명# 마요 무더위는 금요일에 시작했는데 날씨가 너무 덥다보니 많이 식을수도 있더라#@위치# 요 ㅠㅠ 항상 건강 잘 챙기시고 달달한 하루되세요^^ ;,0,0
40,너무맛있어요 오늘은 잊지않고 리뷰이벤트했네요 너무 맛있어서 매일먹고싶어용,#@상호명# 입니다 이용해주셔서 정말 감사합니다!♡♡♡♡ 항상 찾아주시고 리뷰도 많이 남겨주시고 맛있게 드셔주셔서 정말 감사합니다!!!♡♡,1,1
41,각각 개별포장 좋았어요 근디 얼음이 다 녹아와서 아쉅네요 도넛은 넘 맛났네요,소중한 리뷰와 사진 감사합니다. 다행히 #@고객이름# 고객님께 안전하게 배달된 것 같네요! 맛있게 드셔주셔서 정말 감사합니다~ 앞으로도 맛있는 도넛과 빠른 배달로 고객님께 만족을 드리도록 노력하는 #@상호명# 이 되겠습니다! 다음에도 또 찾아주세요!,1,0
42,얼음 좀 완벽하게 갈아주심좋겠어요 매번 얼음 덩어리가 ㅠㅠ,안녕하세요! 고객님 주문과 소중한 리뷰 감사합니다. 앗......? ㅠㅠ 너무 죄송합니다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ᅲ 자주 이용부탁드립니다!!!! 이용해주셔서 정말 감사드립니다,1,1
43,맛도좋고 양도좋고 생크림이 너무 달지않고 거부감없이먹었어요,#@고객이름# 님~ 저희 #@상호명# 을 이용해 주셔서 정말 감사드립니다~! 맛있게 드셨다니 정말 기쁩니다~! 항상 청결하고 청결하게 맛있게 준비해드리겠습니다. 항상 맛있고 건강한 음식으로 보답 드리겠습니다. 많은 이용 부탁드릴게요~!,1,1
44,국내산 닭고시!!!!!!!!!,죄송합니다 닭실 재고문제로 걱정많으시죠...ㅠㅠ ᅲ 항상 재고 점검해서 원하시는 맛 느끼실수있도록 노력하겠습니다,1,0
45,배달도 빠르고 맛도 맛있고 서비스도 최고 입니다 ~~,감사합니다^^ 빠른배달 약속드리겠습니다~ 감사합니다!,1,1
46,"예정된 사간보다 45분 더 지연됐어요.너무 늦으면 연락을 먼저 주시던지 해야하는데,마냥 기다리고 실망이네요.",안녕하세요 #@고객이름# 님. 먼저 배달을 진행한 라이더분에게 거듭 죄송하다는 말씀드립니다. 더 신속히 준비해서 배달 해드리겠습니다. 감사합니다.,1,1
47,항상 배달 빠르게 해주시거 너무 좋아요,안녕하세요 고객님~ #@상호명# #@상호명# 입니다:) 항상 이용해주셔서 정말 감사합니다 ^^ 좋은 하루 되세요 ^^,1,1
48,맛도 좋고 배달도 빠른데 배달료가 넘 비싸요 ㅠ.ㅠ,안녕하세요 고객님~! 배달료 정말 비싸게 책정되어있습니다😭😭😭😭😭😭😭 배달팁을 지불하여 저희를 선택해 주셔서 너무 감사드립니다,0,1
49,최고입니다.맛있습니다 .고맙습니다,#@고객이름# ~~맛있게 드셔주셔서 너무너무 감사드립니다!!! 항상 맛과 양으로 보답하는 #@상호명# 가 되겠습니다!! 또 이용해주세요~,1,1
50,매번 뭘더 주시네요 배달도 빠르고 원하는맛 선택해서 먹을수 있으니 좋아요,#@고객이름# 님 항상 애용해 주셔서 정말 감사드립니다! 더더욱 열심히 하겠습니다!!!,1,1
51,두번째주문인데 크로플 맛이 엄청나게 맛있습니다,안녕하세요 고객님 소중한 주문과 리뷰 감사합니다  고객님께 맛있는 크로플을 전해드릴 수 있어서 뿌듯합니다! 앞으로도 항상 최고의 품질과 서비스로 보답 드릴 수 있는 #@상호명# 되겠습니다 다음 주문 때 뵙겠습니다! 건강 조심하세요!( ́`),1,1
52,맛은 있으나 배달이 너무 오래걸려요 양도 적고,안녕하세요 고객님 #@상호명# #@상호명# 입니다. 저희 매장을 이용해주셔서 진심으로 감사드립니다! 빠르게 배송될 수 있도록 최선을 다하겠습니다. 앞으로도 많은 이용부탁드립니다:),1,1
53,시킬 때마다 늘 만족하는 메종드한,소중한 리뷰 감사합니다~~~ 언제나 만족을 드리는 #@상호명# 가 되겠습니다~~!,1,1
54,항상 좋은 음식 감사합니다 ㅎㅎ,#@고객이름# 님 소중한 리뷰 감사드립니다! 앞으로도 변함없이 맛과 양 배달 서비스를 위해 노력하겠습니다! 많은 이용 부탁드립니다 :),1,1
55,최근에 주문했을때 맛있어서 두번째 주문합니다. 맛있어요~~ 👍 코로나로 어려운 시기에 오래도록 영업 잘 되시길 바랍니다.,고객님 주문과 소중한 리뷰 너무 감사드립니다~~ 앞으로도 맛있고 신선한제품으로 보답하겠습니다 자주 이용부탁드리며 쌀쌀해진 날씨에 감기조심하시고 즐거운 하루보내세요,1,1
56,아인슈페너 처음으로 시켜봤는데 달달하니 맛있습니다~!! 서비스로 주신 아메리카노도 잘 먹겠습니다 감사합니다🥹,안녕하세요! #@상호명# 카페 #@위치# 입니다(  ) 주문 해주셔서 감사합니다!! 즐거운 한끼 되셨나요~?! 앞으로도 많은 이용 부탁드릴게용~!! :),1,1
57,딸기ㅜㅜ 저 원래 딸기 안 좋아하는데 3주 내내 딸빙 생각으로 지새우다 드디어ㅜㅜ 먹었슴다ㅠ 딸기 토실하니 맛났어요!,딸기 저희가 고민하다 중간에 딸기토실 우유랑 바꿔가면서 만든 딸기 토실인데 만족하셨다니 뿌듯하네요~~ 딸기청도 넉넉히 넣도록 하겠습니다~~ 감사합니다~~^^,0,1
58,배달 빠르고 맛잌ㅅ어오 이번에는 리뷰이벤트로 제대로 파인애플 받았어요 큰 사이즈가 왔네여 잘 먹었습니다 감사....!,#@고객이름# 님 리뷰 감사드립니다^^! 맛있게 드셨다니 다행이에요~! 저희 #@상호명# 은 항상 고객님께서 만족하실 수 있도록 노력하겠습니다^-^~! 앞으로도 자주 찾아주세요^^ 즐거운 하루 되세요,1,1
59,새벽에도 배송이 되니 참좋아요^^ 샌드위치 참 맛있어요~서비스 잘마실게요♥,주문해주셔서 감사합니다!! 맛있게 드셨다니 다행입니다ᄒᄒ 오늘도 즐거운 하루 되시길 바랍니다 :),1,1
60,미리 잘라서 보내주신 덕분에 편하게 생크림에 먹을수 있었네요. 맛있었어요! 서비스로주신 아메리카노 잘마시겠습니다. 번창하세요.,#@상호명# 과 좋은시간되어서 감사합니다. 리뷰감사드리며 맛있게드셨다니 다행이네요. 와플이 생각날때 똥해주세요 잘굽고 포장해서 보내드리겠습니다 감사합니다^^,0,1
61,랜덤박스라 어떤 빵이 올까 기대되기도 하고 신선하네요. 덤으로 자몽쥬스 주신 것도 잘 먹었습니다~,저희매장을 이용해주셔서 너무 감사합니다♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡,1,1
62,양이 팥빙수..소 맞나 할 정도로 많아요,이용해주셔서 감사합니다! 이용해주셔서 감사드리고 자주이용해주세요!! 감사합니다!!!!!,1,1
63,빠른 배달 감사합니다 바닐라라떼도 진짜 맛있었어요,#@고객이름#! 저희 #@상호명# 을 찾아주셔서 감사합니다 :) 오늘도 맛있는 커피를 빠르게 받아보셨다니 너무 감사드려요 ᄒᄒ 앞으로도 맛있는 음료로 보답하겠습니다 :),1,1
64,햄치즈시킬까말까하다가 남길꺼같아서 안시켰는데 서비스로주셔서 감사해요^^ 참치는 안에 양배추가들어있어 넘맛있었어요 내용물도 넘치도록 들어있고! ㅎㅎ다음에도 또주문할께요,소중한리뷰 감사합니다♡♡♡ 햄치즈 오븐에 치즈를 딱 한통씩 넣어서 드시더라#@위치# 요!! 이렇게 만족해주시고 칭찬해주셔서 진심으로 감사드려요^^ 감사합니다♡♡♡♡♡,0,1
65,샌드위치가 생각보다 커서 좋습니다,#@고객이름# 안녕하세요^^ 에그허그샌드위치는 정말 든든하고 맛있는 제품이라 인기가 많습니다^^ 앞으로도 저희 #@상호명# #@위치# 이용해주세요~ 소중한 리뷰 감사드리며 오늘 하루도 화이팅 하세요~,1,1
66,맛있어요 누텔라가 제일 좋아요,소중한 리뷰 정말 감사합니다!!! 만족스러우셨다니 정말 다행입니다!! 저희 #@상호명# #@상호명# 은 항상 고객님들께 맛있는 음식을 전달하기 위해 노력하고있습니다 :) 앞으로도 만족스러우실 수 있도록 노력하겠습니다!! 감사합니다!!,1,1
67,배달 상태는 양호했고 맛도 너무 좋아요~~,소중한 리뷰 감사드립니다 ^^ 앞으로는 더 좋은 서비스와 좋은 품질로 찾아뵙겠습니다 ^^,1,1
68,괜찮았어요!!!! 다음에 또 시킬게요 ^.^,안녕하세요~!!!! >_<!!!! #@상호명# 을 찾아주셔서 정말 감사합니다^^ 너무 너무 늦었네요ㅜㅜ ᅮ ᅮ 조금만 기다려주신다면 더더욱 맛있고 건강한 디저트 만들어드리겠습니다!! #@고객이름# 께서도 소중한 주문 정말 감사합니다!! ^^ ♥,1,1
69,진짜 너무 맛있어요~~ 스파게티와 바게트 조합이 이렇게 좋을줄 몰랐어요 포장도 너무 깔끔하고 휴일날 브런치로 최고예요!,소중한 리뷰 정말 감사합니다:) 고객님께서 #@상호명# 을 선택하셨다니 정말 행복합니다😭 그래도 더욱더 발전하는 모습 보여드리겠습니다! 앞으로도 더욱 더 노력하는 #@상호명# 이 되겠습니다! #@상호명# #@상호명# 많이 사랑해 주세요😍,1,1
70,맛있어용 근데 토핑 종류는 가격에 비해 별로인 듯 해요 째끄만 떡 조각이라도 있으면 좋을텐데.. 우유얼음 양은 엄청 많아요,맛있게드셨다니 정말감사합니다 토핑은 항상 일정한 양을 드리려하는데ㅠㅠㅠㅠ 해당 부분 저희도 더욱신경쓰도록하겠습니다 항상 최선을다하는 #@상호명# 이되겠습니다 정말 고맙습니다,1,1
71,품절안내도 친절히 해주시고 대체해온 빵도 맛있어요^^ 빙수도 맛있게 잘먹었습니다:),#@상호명# 을 이용해 주셔서 대단히 감사합니다. 빙수 #@기관# 메뉴판에 먼저 빙수가 올려진걸 원하시는 고객님께 꼭 말씀드리겠습니다. 좋은 의견 주셔서 고맙습니다.,0,1
72,음료다 맛있네요 토피넛은 땅콩도 씹히구요 잘먹었습니다,안녕하세요~ 고객님 저희 #@상호명# 을 이용해주셔서 감사합니다. 맛있는 식사가 되셨다니 정말 기쁘네요~^^ 더욱 노력하는 #@상호명# 이 되겠습니다. 좋은하루되세요~,1,0
73,늦은시간에도 빙수를 먹을수 있어서 정말 좋네요 초코케익도 맛있고 리뷰이벤트로 아아까지 와서 잘 먹었습니다~,#@고객이름# 님 고맙습니다! 빙수하면 당연히 #@상호명# 이지요 ^^ 리뷰 이벤트도 안하는데 너무 감사합니다!!,1,1
74,배달도 빠르고 포장도 잘되어있어서 좋겠어요~감사합니다!,고객님 고맙습니다! 최대한 안전하게 배달할 수 있도록 직원들 모두가 노력하고있습니다!!,1,1
75,맛있는 음료랑 토스트ㅠㅠ 너무 좋아오 자꾸 생각나서 시켜먹었어요,#@상호명# 과 좋은시간되어서 감사합니다. 무엇보다 좋은시간 되셨다니 뿌듯합니다 항상 만족100퍼센트 될수 있도록 노력하는 #@상호명# 되겠습니다 리뷰와사진 너무나감사드립니다,1,1
76,집에서 배달해 먹는 망고빙수..최고네요 ! 서비스 아이스티도 유달리 맛나고.... 자주 애용하겠습니다ㅡ 한가지 건의사항은 연유가 좀 흘렀네요. 담부터는 뿌려주시면 좋겠어요,주문해주셔서 정말 감사합니다^^ 망고 빙수 맛있게 드셨다니 다행이네요^^ 빙수를 주문하시면 배달중에 망고소스가 흐르지않게 유달리 뿌려드리겠습니다^^,0,1
77,간만에 주문하는데도 서비스챙겨주셔서 감사했어요! 아이스아메리카노랑 먹으니까 더욱 맛있었어요ㅠㅠ 샌드위치 맛은 말할것도없구요ㅜㅜ 정말 푸짐하고 신선한 맛난 샌드위치였어요!!,고객님~ 주문해주셔서 감사합니다:) 아이스아메리카노 좋아하시는 고객님들께 꼭 만족을 드리기 위해 매일 매일 노력하고 있습니다! 많은 이용 부탁드립니다!,1,1
78,안녕하세요 오늘 처음 시켜봤는데 맛도 좋고 냉장고에 보관 했다가 먹을 수 있어서 편리해요~ 캔커피 홀더가 이뻐서 냉장고에 세워두니 너무 귀엽네요 잘먹겠습니다. 자주 이용할게요🙏👍,안녕하세요! #@상호명# 카페 #@위치# 입니다( ́▽`)ノ 주문해주셔서 감사합니다! 맛있게 드셔주셔서 감사합니다♡ 더더욱 맛있는 음료와 디저트 제공할 수 있도록 노력하겠습니다!!,1,1
79,너무나도 맛났어요 보리건빵도 서비스도 주시고 너무 감사해요,#@고객이름# 안녕하세요 :) 저희 와플들 모두 맛있게 드셔주셔서 감사드려요 😍 저희 크위치의 가장 큰 장점인 보리건빵은 저희 매장 베스트메뉴 중 하나랍니다 😍 언제나 맛있는 와플 만들겠습니다 😉 즐거운 주말 보내세요,1,1
80,오 처음 시켜보는 곳인데 맛있네요 소스도 충분했고 양도 많아서 배부르게 잘 먹었습니다 커피도 맛있어요 다음에는 딴 메뉴 주문해볼래요,소중한리뷰감사합니다~^^ 맛있게드셨다니 저도 뿌듯하네요~ 앞으로도 더 만족하실수있도록 노력하는 #@상호명# #@위치# 이 되도록하겠습니다~ 감사합니다~~^^,1,1
81,종이봉투 요청 들어주셔서 감사^^ 평일 저녁 여자 직원분 친절하셔요~,안녕하세요! #@상호명# #@상호명# 입니다 :) 저희 #@상호명# #@상호명# 을 이용해주셔서 감사드립니다! 또 이용해주세요~~!,1,1
82,배달 빠르고 양 많이 주셔서 맛있게 먹었어요,#@상호명##@상호명# #@상호명# 입니다. 이용에 불편드린점 대단히 죄송합니다..! 매장에서 드시는것처럼 신선하고 맛있게 제공해드릴수 있도록 최선을 다하겠습니다.!,1,0
83,배달도 빠르고 맛도좋고 서비스도 주시구 너무 감사합니다,#@고객이름# 님 주문해 주셔서 감사합니다. 주문해 주신 것 만도 감사한데 이렇게            까지 해주시면 더더욱 . ♥ ♥ ♥ ♥ 까지 해주시면 더더욱 . ♥ ♥ 까지 해주시면 더더욱 . 🥰😍,0,1
84,샌드위치가 이렇게 맛있는 줄 처음 알았어요,안녕하세요~ #@상호명# #@상호명# 입니다! 샌드위치지만 당충전에는 샌드위치만 추천드립니다ᄒᄒ 이용해주셔서 감사합니다!,1,0
